Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift	Temperature	Error  Temperature
1.250000E+2	4.700276E-5	2.330948E-6	-1.990639E+0	2.769062E-1	5.566614E+1	7.739451E-3
1.252500E+2	3.412281E-5	7.476380E-7	-1.248274E-1	4.266469E-1	5.583557E+1	3.278094E-2
1.255000E+2	2.149646E-5	4.061056E-7	2.889226E-1	3.700621E-1	5.605120E+1	3.908231E-2
1.257500E+2	1.070747E-5	3.990766E-7	-1.593541E-1	3.991778E-1	5.615901E+1	3.743847E-2
1.260000E+2	7.006525E-6	3.517333E-7	6.831997E-2	4.153188E-1	5.630533E+1	2.924652E-2
1.262500E+2	6.060330E-6	4.582016E-7	1.733680E-1	3.350469E-1	5.640544E+1	1.524495E-2
1.265000E+2	4.402583E-6	4.105287E-7	2.276733E-1	3.184522E-1	5.643625E+1	1.428173E-15
1.267500E+2	3.539895E-6	3.567042E-7	-5.950795E-2	2.469916E-1	5.651839E+1	1.902779E-2
1.270000E+2	3.428074E-6	3.378092E-7	-3.978768E-2	1.825929E-1	5.678023E+1	2.462611E-2
1.272500E+2	3.106603E-6	2.796041E-7	-9.696031E-2	1.341045E-1	5.671862E+1	2.595250E-2
1.275000E+2	3.279860E-6	2.591628E-7	-1.376309E-1	9.251998E-2	5.657487E+1	2.306304E-2
1.277500E+2	3.055680E-6	2.010919E-7	-3.738186E-2	7.704233E-2	5.653380E+1	2.036585E-2
1.280000E+2	3.032173E-6	1.630794E-7	-2.363387E-3	6.304572E-2	5.645935E+1	1.471174E-2
1.282500E+2	3.134776E-6	1.638443E-7	-5.222834E-2	5.661904E-2	5.645679E+1	1.016330E-2
1.285000E+2	3.170053E-6	1.294252E-7	-8.888312E-2	4.697950E-2	5.645165E+1	8.846929E-3
1.287500E+2	3.206744E-6	1.716852E-7	-1.045205E-3	6.259210E-2	5.645679E+1	1.016330E-2
1.290000E+2	3.469780E-6	3.026526E-7	-3.436094E-1	1.177321E-1	5.647732E+1	1.407361E-2
1.292500E+2	3.527047E-6	3.086422E-7	-2.757445E-1	1.234023E-1	5.644138E+1	5.159634E-3
